tsg_set,class,definition,clase,definición
1,DOID:0040020,A cephalosporin allergy that has_allergic_trigger cefotaxime.,DOID:0040020,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefotaxima.
1,DOID:0040021,A drug allergy that has_allergic_trigger cephalosporin.,DOID:0040021,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a la cefalosporina.
1,DOID:0040022,A drug allergy that has_allergic_trigger amodiaquine.,DOID:0040022,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la amodiaquina.
1,DOID:0040023,A cephalosporin allergy that has_allergic_trigger cefaclor.,DOID:0040023,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia al cefaclor.
1,DOID:0040024,A cephalosporin allergy that has_allergic_trigger ceftazidime.,DOID:0040024,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la ceftazidima.
1,DOID:0040025,A cephalosporin allergy that has_allergic_trigger cefuroxime.,DOID:0040025,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefuroxima.
1,DOID:0040026,A drug allergy that has_allergic_trigger chlorhexidine.,DOID:0040026,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la clorhexidina.
1,DOID:0040027,A drug allergy that has_allergic_trigger cyclophosphamide.,DOID:0040027,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la ciclofosfamida.
1,DOID:0040028,A drug allergy that has_allergic_trigger succinylcholine.,DOID:0040028,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la succinilcolina.
1,DOID:0040029,A drug allergy that has_allergic_trigger trimethoprim.,DOID:0040029,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la trimetoprima.
1,DOID:0040030,A cephalosporin allergy that has_allergic_trigger cefixime.,DOID:0040030,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia a la cefixima.
1,DOID:0040031,A drug allergy that has_allergic_trigger diclofenac.,DOID:0040031,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al diclofenaco.
1,DOID:0040032,A drug allergy that has_allergic_trigger carbapenems.,DOID:0040032,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia a los carbapenémicos.
1,DOID:0040033,A beta-lactam allergy that has_allergic_trigger piperacillin.,DOID:0040033,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia a la piperacilina.
1,DOID:0040034,A drug allergy that has_allergic_trigger rocuronium.,DOID:0040034,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al rocuronio.
1,DOID:0040035,A drug allergy that has_allergic_trigger sulfasalazine.,DOID:0040035,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia a la sulfasalazina.
1,DOID:0040036,A drug allergy that has_allergic_trigger tubocurarine.,DOID:0040036,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la tubocurarina.
1,DOID:0040037,A beta-lactam allergy that has_allergic_trigger aztreonam.,DOID:0040037,Una alergia a los betalactámicos que tiene_como_desencadenante_de_la_alergia al aztreonam.
1,DOID:0040038,"An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.",DOID:0040038,"Un asma alérgico que tiene_como_desencadenante_de_la_alergia al meropenem, un antibiótico beta-lactámico."
1,DOID:0040040,An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.,DOID:0040040,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al diisocianato de hexametileno.
1,DOID:0040041,An allergic asthma that has_allergic_trigger isocyanates.,DOID:0040041,Un asma alérgico que tiene_como_desencadenante_de_la_alergia a los isocianatos.
1,DOID:0040042,"An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",DOID:0040042,"Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato."
1,DOID:0040043,An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.,DOID:0040043,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al meta-diisocianato de tolueno.
1,DOID:0040044,An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.,DOID:0040044,Un asma alérgico a los isocianatos que tiene_como_desencadenante_de_la_alergia al isocianato de metilo.
1,DOID:0040045,An allergic asthma that has_allergic_trigger nickel atom.,DOID:0040045,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de níquel.
1,DOID:0040046,An allergic contact dermatitis that has_allergic_trigger nickel atom.,DOID:0040046,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de níquel.
1,DOID:0040047,An allergic asthma that has_allergic_trigger trimellitic anhydride.,DOID:0040047,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido trimelítico.
1,DOID:0040048,An allergic asthma that has_allergic_trigger phthalic anhydride.,DOID:0040048,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido ftálico.
1,DOID:0040049,An allergic asthma that has_allergic_trigger maleic anhydride.,DOID:0040049,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido maleico.
1,DOID:0040050,An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.,DOID:0040050,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido tetracloroftálico.
1,DOID:0040051,An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.,DOID:0040051,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al anhídrido hexahídrico.
1,DOID:0040052,"An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",DOID:0040052,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al difenilmetano-4,4-diisocianato."
1,DOID:0040053,An allergic contact dermatitis that has_allergic_trigger cobalt atom.,DOID:0040053,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.
1,DOID:0040054,An allergic asthma that has_allergic_trigger cobalt atom.,DOID:0040054,Un asma alérgico que tiene_como_desencadenante_de_la_alergia al átomo de cobalto.
1,DOID:0040055,An allergic contact dermatitis that has_allergic_trigger palladium.,DOID:0040055,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al paladio.
1,DOID:0040056,An allergic contact dermatitis that has_allergic_trigger chromium atom.,DOID:0040056,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al átomo de cromo.
1,DOID:0040057,An allergic contact dermatitis that has_allergic_trigger benzoic acid.,DOID:0040057,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al ácido benzoico.
1,DOID:0040058,"An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.",DOID:0040058,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la 1,4-fenilendiamina."
1,DOID:0040059,An allergic contact dermatitis that has_allergic_trigger potassium dichromate.,DOID:0040059,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al dicromato potásico.
1,DOID:0040060,A photoallergic dermatitis that has_allergic_trigger ketoprofen.,DOID:0040060,Una dermatitis fotoalérgica que tiene_como_desencadenante_de_la_alergia al ketoprofeno.
1,DOID:0040061,A respiratory allergy that has_allergic_trigger remazole black-GR.,DOID:0040061,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al negro remazol-GR.
1,DOID:0040062,A respiratory allergy that has_allergic_trigger chloramine T.,DOID:0040062,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia a la cloramina T.
1,DOID:0040063,A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.,DOID:0040063,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al dióxido de 4-vinilciclohexeno.
1,DOID:0040064,An allergic contact dermatitis that has_allergic_trigger (-)-carvone.,DOID:0040064,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la (-)-carvona.
1,DOID:0040065,A drug allergy that has_allergic_trigger quinidine.,DOID:0040065,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la quinidina.
1,DOID:0040066,A drug allergy that has_allergic_trigger melphalan.,DOID:0040066,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al melfalán.
1,DOID:0040067,An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.,DOID:0040067,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al sulfato de neomicina.
1,DOID:0040068,An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.,DOID:0040068,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 4-tert-butilfenol.
1,DOID:0040069,"An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.",DOID:0040069,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al 1-cloro-2,4-dinitrobenceno."
1,DOID:0040070,A drug allergy that has_allergic_trigger co-trimoxazole.,DOID:0040070,Una alergia a los medicamentos que tiene_como_desencadenante_de_la_alergia al cotrimoxazol.
1,DOID:0040071,A drug allergy that has_allergic_trigger sodium aurothiomalate.,DOID:0040071,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al aurotiomalato sódico.
1,DOID:0040072,An allergic contact dermatitis that has_allergic_trigger parthenolide.,DOID:0040072,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la partenolida.
1,DOID:0040073,A drug allergy that has_allergic_trigger disodium cromoglycate.,DOID:0040073,Una alergia a un medicamento que tiene_como_desencadenante_de_la_alergia al cromoglicato disódico.
1,DOID:0040074,An allergic contact dermatitis that has_allergic_trigger formaldehyde.,DOID:0040074,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al formaldehído.
1,DOID:0040075,An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.,DOID:0040075,Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la benzo[d]isotiazol-3-ona.
1,DOID:0040076,A drug allergy that has_allergic_trigger phthalyl group.,DOID:0040076,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al ftalilo.
1,DOID:0040077,A drug allergy that has_allergic_trigger alcuronium bromide.,DOID:0040077,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al bromuro de alcuronio.
1,DOID:0040078,A drug allergy that has_allergic_trigger gallamine.,DOID:0040078,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia a la galamina.
1,DOID:0040079,"An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.",DOID:0040079,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia al grupo 2,4-dinitrofenilo."
1,DOID:0040080,A drug allergy that has_allergic_trigger patent blue V.,DOID:0040080,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al azul patentado V.
1,DOID:0040081,A respiratory allergy that has_allergic_trigger acid anhydride.,DOID:0040081,Una alergia respiratoria que tiene_como_desencadenante_de_la_alergia al anhídrido ácido.
1,DOID:0040082,A drug allergy that has_allergic_trigger oxirane.,DOID:0040082,Una alergia a medicamentos que tiene_como_desencadenante_de_la_alergia al oxirano.
1,DOID:0040083,A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.,DOID:0040083,Una neumonía bacteriana que tiene_como_base la Chlamydia pneumoniae.
1,DOID:0040084,A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.,DOID:0040084,Una neumonía bacteriana tiene_como_base el Streptococcus pneumoniae.
1,DOID:0040085,A bacterial infectious disease has_material_basis_in Bacteria.,DOID:0040085,Una enfermedad infecciosa bacteriana que tiene_como_base las bacterias.
1,DOID:0040086,A viral infectious disease has_material_basis_in BK polyomavirus.,DOID:0040086,Una enfermedad infecciosa viral que tiene_como_base el poliomavirus BK.
1,DOID:0040087,An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.,DOID:0040087,Enfermedad autoinmune del sistema nervioso periférico que provoca una neuropatía periférica.
1,DOID:0040088,"An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.",DOID:0040088,"Una enfermedad autoinmune de ojos, oídos, nariz y garganta que se_ubica_en la úvea."
1,DOID:0040089,An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.,DOID:0040089,Enfermedad autoinmune del sistema nervioso periférico que se_ubica_en el haz de proyección neuronal que conecta el ojo con el cerebro.
1,DOID:0040090,An autoimmune disease of gastrointestinal tract that is located_in the stomach.,DOID:0040090,Enfermedad autoinmune del tracto gastrointestinal que se_ubica_en el estómago.
1,DOID:0040091,An autoimmune disease of endocrine system that is located_in the pancreas.,DOID:0040091,Una enfermedad autoinmune del sistema endocrino que se_ubica_en el páncreas.
1,DOID:0040092,An autoimmune disease of musculoskeletal system that is an ankylosing spondylitis with onset during childhood.,DOID:0040092,Enfermedad autoinmune del sistema musculoesquelético que es una espondilitis anquilosante con inicio durante la infancia.
1,DOID:0040093,A lupus erythematosus caused by chronic use of certain drugs.,DOID:0040093,Un lupus eritematoso causado por el uso crónico de ciertos fármacos.
1,DOID:0040094,An autoimmune disease of urogenital tract that is located_in the renal glomerulus.,DOID:0040094,Enfermedad autoinmune del tracto urogenital que se_ubica_en el glomérulo renal.
1,DOID:0040095,An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.,DOID:0040095,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por el deterioro de la función del músculo cardiaco.
1,DOID:0040096,An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.,DOID:0040096,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por la acumulación de placa en las arterias.
1,DOID:0040097,An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.,DOID:0040097,Enfermedad autoinmune del sistema cardiovascular que se caracteriza por la inflamación de los vasos sanguíneos.
1,DOID:0040098,A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.,DOID:0040098,Un penfigoide que se caracteriza por la formación de ampollas en la piel como resultado de células T y B autorreactivas que se tienen como objetivo al BP180.
1,DOID:0040099,A vasculitis with purpuric ulcers.,DOID:0040099,Una vasculitis con úlceras purpúricas.
1,DOID:0040100,An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.,DOID:0040100,Enfermedad autoinmune del sistema endocrino caracterizada por hipoglucemia causada por anticuerpos contra la insulina.
1,DOID:0040101,"An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.",DOID:0040101,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la N,N-difeniltiourea."
1,DOID:0040102,"An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.",DOID:0040102,"Una dermatitis de contacto alérgica que tiene_como_desencadenante_de_la_alergia a la N,N-dietiltiourea."
1,DOID:0040103,A cephalosporin allergy that has_allergic_trigger cefotiam.,DOID:0040103,Una alergia a la cefalosporina que tiene_como_desencadenante_de_la_alergia al cefotiam.
1,DOID:0040104,"A toluene meta-diisocyanate allergic asthma that has_allergic_trigger toluene 2,4-diisocyanate.",DOID:0040104,"Un asma alérgico al meta-diisocianato de tolueno que tiene_como_desencadenante_de_la_alergia al tolueno 2,4-diisocianato."
1,DOID:0050004,"A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.",DOID:0050004,"Una vesiculitis seminal gonocócica que se caracteriza por dolor de espalda, dolor perineal, dolor con la eyaculación, hematospermia y síntomas miccionales derivados de la inflamación que se_ubica_en las vesículas seminales causada por la infección por Neisseria gonorrhoeae."
1,DOID:0050012,"A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.",DOID:0050012,"Enfermedad infecciosa vírica que resulta_en una infección que se_ubica_en las articulaciones, tiene_como_base el virus Chikungunya, que se_transmite_por picadura del mosquito Aedes. La infección tiene_como_síntoma fiebre, tiene_como_síntoma artralgia, y tiene_como_síntoma erupción maculopapular."
1,DOID:0050025,"An ehrlichiosis that results in infection located in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.",DOID:0050025,"Una ehrlichiosis que provoca una infección localizada en el leucocito granular, tiene_como_base el Anaplasma phagocytophilum, que es transmitida por la garrapata estrella solitaria (Amblyomma americanum). La infección se presenta con síntomas como dolor de cabeza, dolores musculares, fatiga, fiebre y sarpullido."
1,DOID:0050026,"An ehrlichiosis that results in infection located in monocyte or located in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted by black-legged tick (Ixodes scapularis), transmitted by western black-legged tick (Ixodes pacificus) or transmitted by castor bean tick (Ixodes ricinus). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.",DOID:0050026,"Una ehrlichiosis que provoca una infección localizada en el monocito o localizada en el macrófago, tiene_como_base el Ehrlichia chaffeensis, que es transmitida por la garrapata de patas negras (Ixodes scapularis), es transmitida por la garrapata de patas negras occidental (Ixodes pacificus) o es transmitida por la garrapata del ricino (Ixodes ricinus). La infección se presenta con síntomas como dolor de cabeza, dolores musculares, fatiga, fiebre y sarpullido."
1,DOID:0050032,An acquired metabolic disease that is characterized by abnormal mineral metabolism.,DOID:0050032,Enfermedad metabólica adquirida que se caracteriza por un metabolismo mineral anormal.
1,DOID:0050035,"A spotted fever that has_material_basis_in Rickettsia africae, which is transmitted_by ticks (Amblyomma hebraeum and Amblyomma variegatum). The infection has_symptom fever, has_symptom eschar and has_symptom maculopapular rash.",DOID:0050035,"Una fiebre manchada que tiene_como_base la Rickettsia africae, que se_transmite_por garrapatas (Amblyomma hebraeum y Amblyomma variegatum). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escara y tiene_como_síntoma erupción maculopapular."
1,DOID:0050041,"A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia, which is transmitted_by ticks (Rhipicephalus pumilio and Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar (usually single), has_symptom regional adenopathy, has_symptom maculopapular rash on extremities.",DOID:0050041,"Una fiebre manchada que tiene_como_base la Rickettsia conorii subsp caspia, que se_transmite_por garrapatas (Rhipicephalus pumilio y Rhipicephalus sanguineus). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escara (generalmente única), tiene_como_síntoma adenopatía regional, tiene_como_síntoma erupción maculopapular en las extremidades."
1,DOID:0050042,"A spotted fever that has_material_basis_in Rickettsia conorii subsp indica, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.",DOID:0050042,"Una fiebre manchada que tiene_como_base la Rickettsia conorii subespecie indica, que se_transmite_por garrapatas (Rhipicephalus sanguineus). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escaras, tiene_como_síntoma adenopatías regionales y tiene_como_síntoma erupción maculopapular en las extremidades."
1,DOID:0050043,"A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.",DOID:0050043,"Una fiebre manchada que tiene_como_base la Rickettsia conorii subespecie israelensis, que se_transmite_por garrapatas (Rhipicephalus sanguineus). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escaras, tiene_como_síntoma adenopatías regionales y tiene_como_síntoma erupción maculopapular en las extremidades."
1,DOID:0050046,"A spotted fever that has_material_basis_in Rickettsia heilongjiangensis, which is transmitted_by ticks (Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom maculopapular rash, and has_symptom regional adenopathy.",DOID:0050046,"Una fiebre manchada que tiene_como_base la Rickettsia heilongjiangensis, que se_transmite_por garrapatas (Haemaphysalis concinna). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escara, tiene_como_síntoma erupción maculopapular y tiene_como_síntoma adenopatía regional."
1,DOID:0050047,"A spotted fever that has_material_basis_in Rickettsia honei, which is transmitted_by cayenne ticks (Amblyomma cajennense). The infection has_symptom mild spotted fever, has_symptom eschar and has_symptom adenopathy.",DOID:0050047,"Una fiebre manchada que tiene_como_base la Rickettsia honei, se_transmite_por garrapatas de cayena (Amblyomma cajennense). La infección tiene_como_síntoma fiebre manchada leve, tiene_como_síntoma escara y tiene_como_síntoma adenopatía."
1,DOID:0050050,"A spotted fever that has_material_basis_in Rickettsia japonica, which is transmitted_by ticks (Dermacentor taiwanensis and Haemaphysalis flava). The infection has_symptom fever, has_symptom eschars, has_symptom regional adenopathy, and has_symptom rash on extremities.",DOID:0050050,"Una fiebre manchada que tiene_como_base la Rickettsia japonica, que se_transmite_por garrapatas (Dermacentor taiwanensis y Haemaphysalis flava). La infección tiene_como_síntoma fiebre, tiene_como_síntoma escaras, tiene_como_síntoma adenopatías regionales y tiene_como_síntoma erupción en las extremidades."
1,DOID:0050051,"A spotted fever that has_material_basis_in Rickettsia parkeri, which is transmitted_by Gulf Coast tick (Amblyomma maculatum). The infection has_symptom fever, has_symptom headache, has_symptom eschar, and has_symptom rash.",DOID:0050051,"Una fiebre manchada que tiene_como_base la Rickettsia parkeri, que se_transmite_por la garrapata de la Costa del Golfo (Amblyomma maculatum). La infección tiene_como_síntoma fiebre, tiene_como_síntoma dolor de cabeza, tiene_como_síntoma escara y tiene_como_síntoma erupción cutánea."
1,DOID:0050052,"A spotted fever that has_material_basis_in Rickettsia rickettsii, which is transmitted_by ticks (Dermacentor variabilis and Dermacentor andersoni). The infection has_symptom fever, has_symptom headache, has_symptom abdominal pain, and has_symptom maculopapular rash progressing into papular or petechial rash.",DOID:0050052,"Una fiebre manchada que tiene_como_base la Rickettsia rickettsii, que se_transmite_por garrapatas (Dermacentor variabilis y Dermacentor andersoni). La infección tiene_como_síntoma fiebre, tiene_como_síntoma dolor de cabeza, tiene_como_síntoma dolor abdominal, y tiene_como_síntoma erupción maculopapular que progresa a erupción papular o petequial."
1,DOID:0050059,"A gastrointestinal anthrax that results in infection located in mucosa of oropharynx, has_material_basis_in Bacillus anthracis, which is transmitted by ingestion of anthrax-infected meat. The infection has symptom lesions, has symptom vomiting of blood, has symptom severe diarrhea, has symptom loss of appetite.",DOID:0050059,"Un carbunco gastrointestinal que provoca una infección localizada en la mucosa de la orofaringe, tiene_como_base la Bacillus anthracis, que se transmite por ingestión de carne infectada de carbunco. La infección presenta como síntomas lesiones, vómitos de sangre, diarrea severa, pérdida de apetito."
1,DOID:0050061,"A primary bacterial infectious disease that results_in infection located_in skin, has_material_basis_in Erysipelothrix rhusiopathiae, which is transmitted_by contact with infected animals. The infection has_symptom redness of skin, has_symptom tenderness of skin and has_symptom warmth of skin.",DOID:0050061,"Enfermedad infecciosa bacteriana primaria que resulta_en una infección que se_ubica_en la piel, tiene_como_base la Erysipelothrix rhusiopathiae, que se_transmite_por contacto con animales infectados. La infección tiene_como_síntoma enrojecimiento de la piel, tiene_como_síntoma sensibilidad de la piel y tiene_como_síntoma calor de la piel."
1,DOID:0050072,"A primary systemic mycosis that is a fungal infection located_in lungs, or located_in skin, which results_in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has_material_basis_in Chrysosporium parvum or Emmonsia crescens.",DOID:0050072,"Una micosis sistémica primaria que es una infección fúngica que se_ubica_en los pulmones, o se_ubica_en la piel, que resulta_en un proceso pulmonar granulomatoso diseminado y una infección cutánea en roedores, pequeños mamíferos salvajes y humanos, tiene_como_base el Chrysosporium parvum o Emmonsia crescens."
